,words,score
0,Главная,753
2,Пожертвования,514
242,Аноним,400
243,24/09/20,389
246,№,380
244,Чтв,380
111,бизнес,362
1,Контакты,275
260,что,172
252,ЭТО,171
3,Пасскод,121
108,автомобили,102
88,Разное,88
26,/u/,79
93,оэкаки,79
539,"совсем,",78
89,Купить,74
448,>>229611809,72
294,нужно,59
263,если,59
159,заговора,59
97,просьбы,51
332,нужен,48
86,Ответить,47
297,чтобы,44
125,hphop,41
682,для,40
290,только,39
607,Просто,36
498,"""там",35
276,годами.,33
474,меня,32
11,доски,32
318,"вещей,",32
293,тебе,32
136,животные,30
239,379,30
155,высокое,30
523,чем,29
527,ничего,29
488,мне,27
442,чтото,26
888,даже,26
834,без,26
181,программирование,26
563,лет,26
604,менеджера/архитектора/тимлида.,25
391,может,25
286,самый,24
434,тебя,24
427,когда,24
348,тоже,24
484,потом,23
400,можно,23
554,"деньги,",23
409,вообще,23
137,природа,22
324,этом,22
686,написать,22
278,своему,22
522,"больше,",22
358,этого,21
751,Есть,21
706,нравится.,20
973,Потому,20
338,которые,20
918,было,20
138,психология,20
367,несколько,19
323,хуйню.,19
306,научиться,18
255,ГОД,18
583,этим,18
556,сейчас,18
245,11:59:14,18
107,Тематика,17
247,229611809,17
334,надо,17
561,господину.,17
630,растут,16
347,"его,",16
394,месяцев,16
586,где,16
118,мода,15
329,который,15
803,интернет,15
240,20,15
444,зарабатывать,15
544,через,14
1041,mge.png,14
728,очень,13
356,будет,13
567,10,13
17,Настройки,13
763,"околоайти,",13
708,много,13
785,какой,13
384,"вопросы,",13
395,"года,",13
381,будут,12
258,себя,12
939,Почему,12
419,поэтому,12
946,"например,",12
360,сделать,12
331,никому,12
738,быть,12
1663,"коголибо,",12
363,хотя,12
672,этой,12
564,опыта,11
280,Освоить,11
431,дохуя,11
505,таких,11
254,МИНИМУМ,11
364,средних,11
569,"Знаю,",11
1127,хочется,11
757,Всю,11
623,вкатиться,11
330,нахуй,11
266,будешь,11
466,уровне,11
1107,"дело,",10
459,440x531,10
341,после,10
494,описал,10
1080,ЗП,10
765,примерно,10
766,"же,",10
268,сможешь,10
1365,сложности,10
1043,1000x1333,10
87,тред,10
84,/sex/,10
601,лучше,10
321,весьма,10
153,техника,10
403,максимум,10
390,Каждый,9
714,"просто,",9
228,фагготрия,9
439,думаю,9
2360,"проекты,",9
525,получать,9
528,почти,9
536,айти,9
314,Всё,9
581,229613063,9
663,"всегда,",9
467,слабенького,9
1190,времени,9
1519,работу,9
1004,"блокнотом,",9
919,настолько,9
879,люди,9
966,себе,9
8,Moble,9
101,Политика,9
1476,"SOLID,",9
94,общение,8
1418,туда,8
625,работать,8
303,понимать,8
1457,теперь,8
291,сложнее.,8
662,нужны,8
3929,>>229627500,8
664,ктото,8
758,жизнь,8
383,такие,8
942,именно,8
867,домашку,8
253,ПРОЕКТ,8
718,229613481,8
241,87,8
470,229612583,8
1328,работает,8
1703,"нет,",8
1189,написал,8
150,оружие,8
829,выбрал,8
1868,"статью,",8
509,работы.,8
551,никогда,8
1125,"тех,",8
3239,"блядь,",8
1192,более,8
397,"первого,",8
249,"41Кб,",7
1485,какието,7
452,229612179,7
259,надеждой,7
485,могут,7
933,вкатился,7
115,другие,7
479,могу,7
930,всего.,7
5,Pcs,7
464,"""сеньорство""",7
465,реальном,7
235,Назад,7
96,анимация,7
1823,"того,",7
446,12:04:22,7
1298,хуйня.,7
376,какие,7
1933,"вкатился,",7
599,ещё,7
605,такой,7
1400,"сказать,",7
610,задачи,7
910,человека,7
638,229613168,7
2202,типа,7
2371,условный,7
299,работают,7
1243,"Так,",7
1166,рациональному,7
91,два.ч,7
500,платят,7
440,мог,7
337,"фреймворки,",7
644,говно,7
750,229613590,7
1531,"часов,",7
2083,зачем,7
828,другой,7
1648,"искать,",7
811,Опять,7
2600,"есть,",7
843,Программировать,7
411,куда,6
271,джуна,6
1619,системы,6
2193,"//golng,ruby,jv,kotln,js,sql",6
1235,Ведь,6
430,насколько,6
997,батиного,6
627,изза,6
1741,месяца.,6
908,любого,6
534,той,6
2157,блять.,6
545,силу.,6
3361,какая,6
1590,какойто,6
764,"твое,",6
2999,своей,6
393,нескольких,6
289,Дальше,6
767,Петровичам,6
298,знать,6
775,свою,6
752,лишь,6
1052,всяких,6
12,Каталог,6
1420,какуюто,6
2142,вроде,6
699,имеют,6
463,возможно,6
471,>>229612459,6
689,"детства,",6
616,идти.,6
147,астрономия,6
122,языки,6
5049,•,6
980,понимаю,6
3016,сферу,6
793,>>229613590,6
74,/fg/,6
366,"проект,",5
377,проблемы,5
186,Игры,5
592,одному,5
849,сделал,5
609,кодить,5
1311,ДС,5
595,понять,5
1642,никто,5
63,/p/,5
2082,главное,5
361,своими,5
1072,Мимо,5
182,радиотехника,5
2611,предрасположенность,5
1368,умеют,5
1071,бабки.,5
1048,была,5
1078,лол.,5
2903,зарплаты,5
371,продемонстрировать,5
580,12:23:46,5
1811,фронтендопетухов,5
1945,немного,5
405,постоянно,5
553,выше.,5
1617,любой,5
1232,нуля,5
432,знаешь,5
1848,поиметь,5
16,NSFW,5
1177,мире.,5
497,мотивом,5
441,выучить,5
443,попроще,5
506,"треть,",5
445,хуже.,5
456,229612459,5
1859,какимто,5
6,Adult,5
2610,"курсе,",5
2107,чемто,5
1203,чуть,5
19,centered,5
424,"отчаянием,",5
1907,Сначала,5
532,>>229612631,5
1626,дают,5
1295,>>229614948,5
396,кроме,5
173,софт,5
547,229612738,5
611,такое,5
2805,"системы,",5
531,229612681,5
423,бороться,5
1254,160к.,5
1253,получается,5
416,гуглингом,5
1895,пхп,5
812,этот,5
3018,заставляют,5
1236,пока,5
789,твой,5
3377,топ,5
612,счастье,5
2058,>ии,5
307,правильному,5
1717,уверен.,5
4125,ваши,5
250,750x597,5
251,ВКАТ,5
1996,150к.,5
114,мультфильмы,5
4146,>>229628059,5
2531,дрочил,5
2000,"фрилансю,",5
653,прямо,5
109,транспорт,5
657,229613218,5
642,понял,5
1491,иной,5
683,"себя,",5
3369,недавно,5
1725,"такого,",5
2005,полностью,5
788,нихуя,5
2010,заниматься,5
678,229613375,5
2542,"Лол,",5
756,эффективности,5
275,вкатываться,5
3066,>>229622229,5
643,ебал,5
684,хочу,5
144,паранормальные,5
624,готовыми,5
691,делают,5
2372,Васян,5
4132,готовые,5
1007,получил,5
4133,решения.,5
1518,сфере.,5
694,начального,5
695,уровня,5
1438,видел,5
639,>ВКАТ,5
2354,пару,5
1439,одного,5
615,равно,5
701,"говорят,",5
1767,свой,5
521,качать,4
511,выбора,4
1653,"Все,",4
698,229613398,4
3063,людьми.,4
1488,айтишниковпрограммистов,4
1654,научишься,4
1599,никаких,4
3048,лампово,4
1716,точно,4
923,хотелось.,4
1847,знаний,4
3710,социофобия,4
2599,тогда,4
824,неплохо,4
3421,реакте,4
873,жизни,4
1495,треда,4
743,твоя,4
493,229612631,4
2817,"гитхаблинкедин,",4
496,вкатывальщика,4
900,"пишет,",4
819,плюс,4
1854,иначе.,4
2603,"использовать,",4
1494,скоростью,4
847,класса,4
483,правда,4
938,229614220,4
1245,скажи,4
1274,всех,4
1718,Другое,4
566,229612807,4
646,300к,4
571,скиллы,4
2609,Даунсон,4
1800,мысли,4
776,игрупрограмму,4
781,получить,4
1056,"логика,",4
1381,"причине,",4
626,"еду,",4
3465,никакого,4
2496,определенного,4
1046,"2645Кб,",4
590,виде,4
4775,>>229631137,4
1044,"3104Кб,",4
3050,городе,4
1393,"задачи,",4
791,229613704,4
4757,получаю,4
608,сидеть,4
1423,"поможет,",4
2921,пишут,4
1022,пиздец,4
3461,честно.,4
1340,первой,4
953,"понял,",4
4333,>>229628676,4
958,>>229614133,4
1151,единственный,4
1589,хоть,4
537,интересно,4
668,>>229613168,4
538,слова,4
2867,бухгалтер.,4
1130,другими,4
1128,денег.,4
960,"конечно,",4
1285,меньше,4
852,"математики,",4
549,Бессмысленное,4
810,229613749,4
768,ковыряться,4
1312,Хороший,4
769,"гараже,",4
774,запилить,4
1323,время,4
560,229612772,4
3721,>>229626441,4
1090,должен,4
651,Спасибо,4
1389,"жизнь,",4
603,программиста,4
47,/r/,4
1887,>>229618362,4
3287,джунов,4
359,взяться,4
123,футбол,4
237,Обновить,4
1905,тестовые,4
2322,последние,4
183,программы,4
37,/h/,4
267,"проёбываться,",4
61,/d/,4
1893,Работал,4
1921,хотят,4
277,Говорю,4
310,"паттернов,",4
282,языка,4
167,живопись,4
46,/psy/,4
1994,охуеваю,4
406,сталкиваться,4
402,"неделю,",4
160,Творчество,4
52,/sp/,4
401,пройти,4
399,первый,4
149,образование,4
120,физкультура,4
5090,vk.com/ru2ch,4
450,200к,4
1881,"прочее,",4
27,/b/,4
90,дискуссии,4
3228,"БЫЛО,",4
14,Юзердоски,4
22,Burchn,4
2256,"Те,",4
206,Японская,4
932,229614189,3
951,верно,3
2669,>>229620958,3
1560,делаешь,3
875,специалистами.,3
865,всему,3
2994,"работают,",3
2671,лежит.,3
2670,предрасположенностям,3
950,>Я,3
1583,получится,3
1477,"паттерны,",3
1475,"поменьше,",3
857,Остальные,3
2123,усвоить,3
1474,78,3
967,кучу,3
2121,доходит,3
971,229614269,3
880,делятся,3
1554,ожидания,3
1487,сообщества,3
940,двачеры,3
1493,мертвый,3
1492,"степени,",3
915,"напротив,",3
1523,вкатился.,3
1524,сразу,3
909,полноценного,3
5091,оФФициальная,3
904,етк.,3
2974,бывает,3
883,Область,3
1541,технического,3
2274,>>229619585,3
896,своего,3
4450,умным.,3
4449,==,3
4448,задрочить,3
1553,Твои,3
1490,247,3
848,8го,3
1605,229616249,3
2115,него,3
3035,"инструмент,",3
771,печь,3
770,Люськам,3
2338,всякие,3
2056,101,3
762,дрочишь,3
761,техники,3
760,появления,3
759,самого,3
2047,229619105,3
2044,пытался,3
4124,значат,3
742,хочешь,3
2608,>>229620839,3
741,особенно,3
1661,возможности,3
739,"обязательно,",3
4127,пишите,3
1665,"намного,",3
1667,практически,3
734,какомнибудь,3
1669,"учатся,",3
732,неплохую,3
730,вполне,3
1671,твоей,3
772,пироги,3
193,gmes,3
779,самореализовать,3
3202,лвл,3
1601,полная,3
836,синьорами,3
2099,жить,3
975,нет.,3
830,всё.,3
2095,229619313,3
1613,самостоятельно.,3
1615,229616328,3
170,РАБота,3
817,229613913,3
2085,229619233,3
175,компьютерное,3
4870,>>229631722,3
1628,комьюнити,3
3263,229623243,3
1631,вас,3
3022,начать,3
800,"любил,",3
1639,ничему,3
3722,софтскиллов,3
2327,229620223,3
3723,"возьмут,",3
782,профиты,3
85,Бред,3
80,/ho/,3
977,229614301,3
2794,большой,3
1275,этих,3
1281,бюлетеней,3
2789,которых,3
1129,заработать,3
33,/fz/,3
34,/fl/,3
35,/ftb/,3
36,/gd/,3
1296,90%,3
38,/hw/,3
1121,229614659,3
4712,telnet,3
39,/me/,3
40,/mlp/,3
1111,первые,3
1315,"плюсминус,",3
2886,части,3
1101,нелегко,3
1100,придется,3
44,/po/,3
1093,"джаву,",3
1092,вкатываюсь,3
45,/pr/,3
4580,>>229629921,3
2896,тимлиды...,3
31,/em/,3
1271,давно,3
978,пишу,3
1269,229615016,3
2829,Перекатился,3
1200,>>229614674,3
1210,"кодинг,",3
3545,ебучем,3
1214,попробовал,3
2823,"треде,",3
1193,менее,3
1183,229614718,3
1179,долбоебы,3
1178,знают,3
18,Mkb,3
1234,знает.,3
1168,мира.,3
2847,15393234665910.jpg,3
1164,математика,3
1240,меняется.,3
1242,229614948,3
2850,>>229621591,3
1250,Курсы,3
2207,занимался.,3
2856,"взаимодействует,",3
28,/bz/,3
29,/bo/,3
2859,далее.,3
3519,миллионнике,3
1354,считаю,3
1355,стали,3
2741,большинстве,3
50,/sc/,3
67,/tes/,3
1405,прочие,3
2716,>>229621389,3
1411,самых,3
4537,Видимо,3
69,/vg/,3
71,/fd/,3
4023,тредов,3
3470,5070к.,3
1430,зп.,3
73,/vn/,3
75,/soc/,3
3468,Средняя,3
77,/fur/,3
2699,>>229621149,3
78,/g/,3
79,/vpe/,3
721,кстати,3
994,"нихуя,",3
3643,>>229624779,3
2694,229621256,3
81,/hc/,3
990,"программирование,",3
2939,бесплатно.,3
83,/fet/,3
1398,229615320,3
1031,математику,3
65,/cg/,3
1055,тетрадям.,3
51,/sn/,3
4563,скота.,3
1366,вижу,3
53,/spc/,3
1369,эту,3
1064,>Но,3
1372,логику,3
1374,понимают,3
2911,сидят.,3
1057,"множества,",3
55,/tv/,3
56,/un/,3
2725,Помоему,3
1383,"момента,",3
1384,"читать,",3
1049,информатика,3
58,/wh/,3
59,/wm/,3
1045,"2890Кб,",3
60,/wp/,3
1042,"2704Кб,",3
62,/dy/,3
2728,здесь,3
64,/trv/,3
1685,особо,3
2828,самом,3
2379,передача,3
3068,229622366,3
629,конкуренции,3
1825,которая,3
270,уровень,3
3373,229623712,3
292,идеале,3
3139,рабство,3
1715,нужно.,3
1803,опустил,3
262,"быстро,",3
1999,"удаленно,",3
3138,галеры.,3
2016,Проиграл.,3
438,ИМХО,3
1754,229617361,3
495,типичного,3
447,229612075,3
3813,"общается,",3
1972,работе,3
3162,"денег,",3
3167,другую,3
333,рынке.,3
368,мелких,3
1710,"Поебать,",3
1976,хорошо,3
428,постепенно,3
550,занятие.,3
274,"дебил,",3
382,задавать,3
2468,неё.,3
1732,">Анон,",3
558,месте.,3
515,идет,3
3814,задает,3
288,шаг.,3
512,специализации.,3
422,тебе.,3
285,"большинство,",3
2002,100к,3
510,ебнутый,3
665,итоге,3
2003,"день,",3
425,которое,3
374,также,3
520,нефть,3
279,опыту.,3
3758,"социофобия,",3
1814,229617992,3
372,заказчику,3
3077,229622425,3
671,всей,3
414,Решается,3
1851,фреймворка,3
1931,охуеть,3
3280,сфера.,3
3114,которого,3
4226,>>229628346,3
1982,"сайта,",3
705,профессия,3
2399,>>229620316,3
2351,твоего,3
707,Слишком,3
1785,тупорылые,3
1873,какойнибудь,3
3051,офисе.,3
407,проблемой,3
