,words,score
3,Mcrosoft,33
7,Surfce,13
8,Xbox,13
4,365,12
24,Shop,10
6,Wndows,9
10,Support,7
82,get,7
94,now,7
11,More,7
40,Busness,6
47,Power,6
22,Devces,6
95,Lern,6
5,Offce,5
36,gmes,5
54,Center,5
48,Developer,4
21,PCs,4
61,Educton,4
63,workshops,4
84,help,4
19,Tems,4
83,resources,4
88,new,4
9,Dels,4
89,Duo,3
1,mn,3
198,Store,3
170,"vote,",3
35,Gold,3
14,Apps,3
126,Dscover,3
80,COVID19,3
99,September,3
41,Azure,3
52,Studo,3
144,Jon,3
59,downlods,2
87,Buy,2
57,Rewrds,2
56,Other,2
60,securty,2
64,trnng,2
62,Vrtul,2
204,students,2
180,Hspnc,2
118,Book,2
69,Stemp,2
70,Serch,2
127,wht’s,2
72,Cncel,2
111,powerful,2
74,Crt,2
73,0,2
0,Skp,2
51,Vsul,2
32,Pss,2
152,"connected,",2
156,servces,2
108,Products,2
107,next,2
105,10,2
18,OneNote,2
104,consoles,2
100,22,2
98,Seres,2
31,Gme,2
97,Preorder,2
33,Ultmte,2
218,Compny,2
45,pltform,2
220,About,2
169,Regster,2
86,bck,2
222,Prvcy,2
42,Dynmcs,2
37,dgtl,2
34,Lve,2
188,"reslence,",1
187,"strength,",1
189,mny,1
186,celebrte,1
185,"15,",1
184,October,1
173,bsentee,1
183,15,1
182,Month,1
157,run,1
158,grow,1
159,busness.,1
160,Ignte,1
161,Lern.,1
162,Explore.,1
163,experts,1
164,tech,1
165,professonls,1
166,flgshp,1
167,event,1
168,22–24.,1
171,mtter,1
172,pply,1
174,"bllot,",1
175,remnders,1
176,nfo,1
177,confdence.,1
178,strted,1
179,Celebrtng,1
181,Hertge,1
190,voces,1
206,prents,1
191,Ltnx,1
228,Unted,1
217,Grge,1
219,Creers,1
221,news,1
223,Investors,1
224,Dversty,1
225,ncluson,1
226,Accessblty,1
227,Englsh,1
229,Sttes,1
215,progrm,1
230,Contct,1
231,cookes,1
232,Terms,1
233,use,1
234,Trdemrks,1
235,Sfety,1
236,eco,1
237,©,1
216,Chnnel,1
214,Retl,1
192,communty,1
202,trckng,1
193,Addressng,1
194,rcl,1
195,njustce,1
196,Follow,1
197,Wht's,1
199,Account,1
200,profle,1
201,Returns,1
203,Promse,1
213,Fnncl,1
205,schools,1
154,"re,",1
207,Enterprse,1
208,AppSource,1
209,Automotve,1
210,Government,1
211,Helthcre,1
212,Mnufcturng,1
155,Tems.,1
119,Select,1
153,wherever,1
75,shoppng,1
53,Server,1
55,Docs,1
58,Free,1
65,Gft,1
66,crds,1
67,Lcensng,1
68,Vew,1
71,Mcrosoft.com,1
76,Sgn,1
151,Keep,1
77,Red,1
78,we’re,1
79,respondng,1
81,"outbrek,",1
85,$700,1
90,$700,1
91,when,1
92,trde,1
50,.NET,1
49,IT,1
46,Advertsng,1
44,Dt,1
2,content,1
12,All,1
13,Softwre,1
15,OneDrve,1
16,Outlook,1
17,Skype,1
20,Edge,1
23,Computers,1
25,Accessores,1
26,VR,1
27,mxed,1
28,relty,1
29,Phones,1
30,Entertnment,1
38,Moves,1
39,TV,1
43,Industry,1
93,elgble,1
96,drems,1
101,eml,1
131,people,1
133,"Cht,",1
134,"meet,",1
135,"cll,",1
136,collborte.,1
137,100,1
138,hghqulty,1
139,gmes.,1
140,Ply,1
141,together,1
142,frends,1
143,fvorte,1
145,Enhnce,1
146,productvty,1
147,"dotll,",1
148,dulscreen,1
149,dynmo.,1
150,Reslence,1
132,person,1
130,365.,1
102,updtes,1
129,every,1
103,Choose,1
106,Fnd,1
109,home,1
110,most,1
112,yet,1
113,desktop,1
114,flexblty,1
115,"lptop,",1
116,"tblet,",1
117,portble,1
120,sle,1
121,now—sve,1
122,whle,1
123,supples,1
124,lst.,1
125,Ths,1
128,possble,1
238,2020,1
